100,10
10,26,26,15,14,13,21,8,9,18
19,7,20,6,12,32,40,5,21,6
4,10,14,34,16,26,34,32,9,39
6,9,31,22,19,25,1,23,30,39
20,14,38,27,16,28,3,32,36,27
37,31,30,37,3,15,13,26,2,15
12,10,31,20,12,31,5,33,13,28
2,26,37,39,28,40,28,39,30,40
24,36,40,27,3,35,33,33,25,10
17,5,38,40,28,12,8,5,3,4
19,17,18,39,3,2,14,27,11,20
10,2,4,7,9,27,13,25,1,36
1,20,36,1,18,23,10,33,34,10
6,37,36,22,23,37,37,25,23,13
11,37,13,36,38,11,30,23,39,5
10,12,3,26,34,2,11,26,31,33
13,11,27,29,10,4,6,21,38,2
14,14,22,21,34,17,22,19,37,28
36,34,19,34,20,8,28,8,28,12
6,6,3,38,21,25,7,16,31,25
28,18,28,24,20,35,10,28,33,11
17,29,21,33,2,18,17,20,32,22
18,1,27,34,35,22,8,20,1,33
20,7,22,2,33,39,22,9,5,14
40,9,5,24,37,38,40,21,40,2
13,5,35,30,16,18,40,34,13,34
31,35,3,16,35,34,17,17,23,13
25,38,31,31,33,8,37,15,14,34
38,36,3,28,1,37,31,34,6,33
21,33,2,23,18,37,35,10,20,28
5,8,2,9,24,2,38,38,11,2
16,20,3,7,22,20,10,33,17,21
30,40,21,28,17,4,38,28,32,11
18,26,36,3,1,34,37,35,30,13
8,29,22,40,15,17,13,37,34,9
34,30,11,25,4,11,1,39,14,31
39,5,6,5,2,40,37,22,23,8
18,37,34,18,19,26,7,9,2,31
36,32,32,37,7,26,22,21,29,19
16,38,21,31,39,16,33,30,37,36
26,14,40,28,11,37,11,27,37,37
20,1,4,13,15,4,20,31,28,8
38,31,17,37,34,7,38,27,1,30
22,30,38,26,10,24,31,36,30,37
24,4,6,18,38,18,7,34,6,38
17,22,23,23,4,27,5,32,32,35
36,39,26,15,29,24,10,27,21,28
34,20,10,22,19,30,36,3,6,28
27,26,10,4,34,16,21,22,21,17
26,24,30,24,26,11,29,29,40,33
29,29,13,24,8,12,14,11,2,24
17,21,25,25,37,39,5,32,32,2
13,14,3,30,32,20,15,24,14,36
34,1,9,16,6,35,3,15,30,28
22,33,20,2,40,28,22,37,40,1
34,14,6,20,12,26,38,5,10,22
40,36,39,23,9,21,11,19,30,21
7,9,4,24,5,38,12,40,32,20
35,5,34,40,21,12,28,32,40,21
35,33,4,35,8,4,35,39,32,1
13,6,26,22,5,40,12,11,35,6
7,8,39,3,26,25,4,27,17,39
33,11,31,22,31,7,1,23,26,38
21,27,21,34,29,12,8,38,21,1
15,20,8,22,3,13,13,28,28,11
13,21,6,7,22,35,13,21,26,34
20,29,21,16,32,21,12,24,38,2
7,15,12,19,22,35,30,2,12,20
24,26,34,18,38,21,20,20,15,35
19,39,40,1,32,21,13,17,21,4
23,29,5,22,24,24,30,2,32,4
7,36,29,33,19,21,12,11,16,17
25,40,32,2,10,22,39,33,2,20
19,31,12,4,8,6,11,34,1,27
23,2,29,25,8,32,8,11,29,35
40,3,30,34,35,36,8,25,36,3
24,27,12,7,12,28,18,28,27,11
10,28,10,4,27,16,17,17,26,3
14,14,19,35,36,22,15,9,40,33
30,15,11,21,39,34,25,13,29,39
17,34,24,18,15,35,20,24,14,34
39,34,14,20,20,30,14,30,18,7
36,5,12,21,22,37,32,17,19,12
26,26,34,8,38,30,30,25,19,35
16,16,1,20,37,28,3,12,1,15
14,13,33,13,17,4,26,36,2,35
36,22,13,26,26,9,34,37,2,33
20,30,19,36,22,24,9,20,11,2
33,9,32,17,15,20,7,13,13,32
14,5,22,23,3,13,27,11,27,13
2,23,9,29,17,14,25,8,6,34
21,3,40,20,1,10,22,21,39,20
16,2,34,25,14,16,14,30,15,28
6,9,19,15,18,37,10,15,28,39
8,11,21,7,20,29,20,6,40,8
31,31,34,26,8,37,16,22,25,39
10,26,13,4,31,5,37,16,2,24
14,37,21,18,28,6,11,34,34,38
15,20,10,36,9,25,5,16,12,23
11,13,18,32,12,13,18,34,20,34
