200,30
7,33,35,5,32,30,32,37,24,15,9,38,39,33,16,13,19,17,25,5,36,16,38,39,40,8,23,9,25,28
28,24,40,24,40,8,25,34,21,37,14,26,33,2,20,5,29,4,3,12,30,9,36,5,32,3,29,4,4,6
21,34,40,6,3,23,14,26,33,25,3,24,25,4,34,8,37,37,27,30,13,29,25,37,24,25,19,31,15,1
33,28,39,16,28,34,24,6,23,32,40,28,31,28,23,26,35,21,22,36,10,39,24,29,32,7,27,16,13,18
27,17,19,39,9,11,34,2,12,30,1,1,10,18,4,35,39,4,20,21,13,40,8,37,35,15,9,33,21,28
5,10,12,23,9,29,38,14,36,34,11,21,24,32,34,38,3,12,25,8,10,10,16,39,31,34,19,2,27,10
17,1,26,31,1,16,38,4,32,20,10,31,20,12,7,40,30,30,12,19,17,34,16,35,1,33,6,15,4,33
38,7,17,24,12,13,5,29,33,20,7,25,7,27,33,1,21,35,24,29,30,14,32,28,17,27,40,4,36,6
30,19,35,4,4,7,15,1,32,15,34,28,29,3,18,32,36,22,21,38,35,13,33,13,31,2,10,18,12,29
29,40,25,7,19,34,2,35,18,3,3,11,31,3,20,40,32,21,1,5,32,16,2,15,37,37,34,6,33,15
8,20,32,40,2,16,5,8,24,12,17,35,5,34,19,16,14,25,32,19,5,16,21,32,31,16,8,20,12,23
7,40,37,15,33,22,3,29,38,19,16,33,37,24,26,6,25,26,16,23,8,21,17,10,4,5,39,34,37,24
38,22,34,22,3,33,2,9,28,16,25,7,23,17,19,28,11,2,29,8,29,10,29,24,4,35,38,18,31,17
37,25,17,26,34,17,30,30,35,24,31,38,1,37,28,38,14,9,30,30,16,23,7,33,23,23,38,23,29,6
6,12,24,20,8,6,10,40,22,7,10,35,16,10,24,37,20,36,32,26,11,8,40,20,35,37,16,27,11,8
35,23,36,29,10,29,39,4,12,9,32,2,30,40,13,21,21,22,40,39,27,22,13,21,33,22,16,7,15,11
5,26,34,9,38,11,4,28,18,27,16,12,38,37,26,26,16,7,6,16,14,16,6,31,34,31,30,10,27,38
24,30,22,6,4,1,3,29,24,36,23,9,39,28,31,39,29,39,2,32,5,29,21,17,2,32,39,30,15,13
37,14,16,13,28,13,40,26,6,19,15,38,36,27,35,11,33,31,24,3,40,37,21,32,3,34,12,23,8,5
31,4,27,30,2,4,13,39,33,29,14,31,24,2,36,24,36,27,1,1,13,25,31,21,13,30,20,16,21,27
34,40,7,29,16,21,34,3,40,30,39,2,38,24,4,27,6,27,21,38,24,28,35,25,31,6,27,5,22,24
32,17,36,37,24,2,38,27,28,23,22,16,20,5,3,34,10,38,7,10,16,39,36,8,2,28,31,12,2,23
7,33,30,8,31,25,7,19,23,38,16,39,11,3,24,20,22,1,17,26,26,36,35,18,23,23,25,24,12,40
20,18,30,17,21,33,22,5,18,7,12,28,22,39,36,37,3,19,11,29,27,9,23,27,34,33,10,8,18,3
30,18,21,23,14,22,33,39,22,1,16,34,19,14,13,11,3,18,30,16,36,34,9,8,15,8,26,17,20,21
22,32,10,34,26,37,14,29,16,33,8,14,22,37,9,20,13,25,37,1,24,19,33,11,11,1,4,11,7,31
14,11,28,18,6,16,23,22,3,38,5,37,29,40,22,2,20,13,18,6,20,25,37,7,29,32,34,25,19,1
32,30,10,33,1,17,36,25,20,18,13,29,7,36,9,18,14,32,39,12,16,34,29,15,12,27,17,24,20,23
38,4,37,38,4,39,38,32,15,38,3,28,30,16,24,28,20,18,25,8,22,9,37,28,7,40,19,30,13,32
39,25,21,32,4,22,13,2,34,33,1,29,16,23,20,3,23,16,8,6,25,28,14,13,13,1,10,37,20,3
11,21,9,6,16,1,23,12,10,19,5,16,25,30,31,36,38,33,15,39,9,39,12,13,18,12,19,35,38,26
38,25,6,34,40,10,16,15,28,24,7,1,35,24,16,30,12,27,25,21,9,35,18,21,4,11,18,11,24,13
6,38,8,12,36,20,28,33,30,12,23,17,22,7,31,23,22,12,38,19,9,24,5,38,1,16,25,3,29,23
9,28,5,35,23,32,27,7,9,6,26,10,7,40,5,1,24,14,38,35,1,23,28,4,14,21,30,3,20,12
33,31,33,39,32,6,31,12,38,5,13,34,40,5,39,11,28,36,7,2,17,24,33,4,10,27,10,16,22,23
8,19,37,28,32,19,37,38,14,3,12,8,24,5,39,8,11,32,31,36,27,36,24,36,9,24,26,17,32,21
40,5,2,31,24,22,25,26,26,11,30,17,29,35,26,14,3,3,30,17,12,29,36,33,2,5,28,25,29,1
21,20,14,29,25,23,8,36,19,36,26,32,24,28,5,35,19,19,31,6,5,14,2,7,8,37,40,1,22,40
17,21,28,27,28,14,6,40,26,5,15,38,12,16,38,28,5,7,8,16,6,20,15,5,18,20,3,3,40,12
38,15,25,33,30,17,15,30,9,19,11,38,4,26,19,1,17,28,33,27,23,32,22,6,1,22,26,28,14,2
38,1,4,36,21,2,9,24,17,11,35,37,38,29,15,26,40,1,23,11,7,4,17,36,19,3,5,17,5,32
