200,50
35,35,39,26,20,19,24,30,36,39,3,34,36,19,24,13,21,20,33,36,27,28,40,13,18,30,10,10,38,34,18,15,15,7,4,8,30,8,11,9,27,38,2,22,13,12,13,30,24,22
16,37,14,28,4,39,14,5,26,3,28,32,22,9,39,17,9,29,22,14,22,9,26,40,32,7,21,4,21,11,33,2,33,18,25,32,40,14,11,37,38,5,38,40,40,24,31,14,25,36
3,21,24,32,35,22,13,34,38,11,8,23,30,18,38,13,40,1,24,19,25,19,19,25,37,37,9,3,1,3,4,20,35,30,13,16,20,2,20,25,39,16,17,12,6,11,23,31,33,17
30,23,32,14,23,38,6,34,11,5,35,10,9,5,19,28,34,3,1,33,33,2,39,38,32,24,38,23,31,38,7,27,9,10,10,34,17,6,24,22,14,19,24,33,31,27,12,1,32,8
34,11,11,14,19,1,34,30,37,29,38,14,12,27,12,37,16,5,25,30,16,37,22,17,9,3,20,30,2,20,28,30,9,39,1,29,10,19,31,39,10,9,34,12,8,10,6,26,36,40
11,12,15,35,19,27,2,11,29,1,32,33,16,25,12,16,30,40,31,17,5,33,27,21,15,31,4,6,19,40,7,8,17,24,8,8,33,22,34,8,7,26,15,37,18,36,12,32,33,8
25,34,6,10,21,7,17,32,27,18,30,39,34,19,32,39,13,33,28,23,8,17,19,28,34,32,38,22,21,4,30,28,7,31,25,12,36,29,16,31,38,40,26,31,14,17,13,24,34,40
33,34,23,40,30,20,23,9,33,9,26,9,24,16,12,18,4,29,20,2,9,23,37,33,20,8,3,6,26,37,27,29,27,35,21,16,26,31,13,4,26,12,9,34,38,5,27,27,13,10
38,21,2,25,24,27,11,3,25,26,8,32,4,24,3,12,12,5,6,15,27,32,23,22,32,11,5,1,6,39,38,21,35,17,28,2,35,20,34,23,17,31,18,27,19,5,33,16,5,32
29,20,10,31,31,15,32,30,5,11,32,35,22,1,29,35,22,25,33,5,13,40,40,6,13,21,38,21,22,5,8,35,12,7,25,22,26,25,40,31,26,31,10,39,35,5,12,13,40,23
24,34,29,1,23,20,24,12,28,34,26,22,9,8,3,3,36,16,13,22,19,33,18,33,15,22,36,21,32,19,24,24,5,22,4,27,29,26,27,29,34,15,36,2,15,19,5,2,15,3
37,32,14,11,8,26,37,32,16,24,19,30,35,3,15,11,19,22,25,10,25,5,39,3,37,3,34,10,18,32,35,17,6,2,9,9,18,3,14,37,14,6,39,36,36,26,20,6,1,10
37,5,26,14,7,17,26,6,13,27,19,20,32,21,11,32,38,35,15,13,15,8,3,6,15,29,29,29,15,12,37,25,31,39,32,7,37,1,32,10,31,14,9,4,26,25,4,22,6,2
10,3,6,25,27,23,37,38,12,40,3,29,13,2,37,14,22,24,15,8,40,26,15,32,17,14,4,14,17,10,35,2,5,35,14,15,32,39,21,34,30,26,30,22,14,15,6,10,6,18
33,23,33,8,32,8,17,38,8,8,9,31,25,17,21,26,25,26,26,8,10,33,14,10,20,27,25,19,28,29,27,16,8,24,10,37,22,31,8,13,6,28,9,16,28,38,24,38,23,3
18,22,21,9,20,34,2,4,18,20,30,37,1,14,15,26,1,16,37,4,9,26,19,1,1,20,30,9,2,34,24,39,33,33,27,4,15,33,6,29,9,18,25,31,21,38,3,27,9,18
39,6,39,23,12,36,27,5,12,15,28,1,14,24,36,5,39,22,21,33,32,13,26,22,15,31,6,19,13,11,7,16,23,6,6,19,40,5,33,19,24,17,5,14,13,35,2,15,12,31
23,25,13,28,32,37,21,21,13,19,28,13,40,10,11,27,19,7,6,19,9,25,24,37,29,3,29,16,6,17,11,36,21,14,34,21,13,6,10,24,38,7,33,25,19,35,8,13,27,37
20,10,17,35,25,8,36,40,19,13,39,33,7,11,14,12,32,6,6,12,5,22,8,38,17,38,17,7,18,3,11,29,19,36,2,35,13,36,38,35,22,9,17,25,30,35,23,9,2,39
9,8,29,25,29,20,1,22,31,23,21,3,19,36,36,7,30,39,13,19,7,2,11,28,14,23,37,39,39,17,3,10,25,36,33,37,15,5,39,32,18,4,34,37,19,36,25,33,38,15
31,8,29,16,13,33,7,34,1,38,15,7,3,37,26,12,34,11,36,29,28,24,40,32,15,16,13,10,24,1,33,35,20,24,37,36,37,32,16,20,16,10,14,30,27,40,8,7,37,23
32,10,19,18,5,23,18,27,9,31,9,31,33,12,12,9,31,15,34,39,25,6,8,2,10,34,30,11,3,33,17,35,22,39,4,39,14,33,31,30,24,16,18,19,15,6,34,23,20,1
9,29,6,19,19,8,29,13,28,37,20,13,26,34,38,29,28,14,4,37,39,12,21,27,35,14,26,30,15,26,19,23,17,16,40,4,30,17,34,11,5,24,14,6,13,37,6,31,22,31
18,21,16,8,17,14,39,6,25,8,39,39,40,3,17,40,3,11,23,7,16,24,36,12,18,9,33,10,29,5,21,39,36,33,39,7,32,21,14,1,38,37,32,35,39,23,5,27,9,8
15,20,16,3,21,9,7,4,15,29,4,11,22,5,32,10,34,16,33,34,6,37,2,22,39,3,27,21,12,16,19,34,31,21,5,10,34,21,40,1,10,22,2,23,34,38,28,40,34,4
19,16,38,15,33,7,32,29,24,31,31,25,28,31,15,16,16,17,3,22,33,32,32,13,20,22,22,8,13,28,5,3,29,13,28,2,6,28,7,34,17,15,23,24,8,23,4,3,3,4
6,31,7,31,16,20,12,14,20,4,21,11,39,30,14,23,31,35,25,15,38,23,1,16,20,20,23,23,34,3,20,13,26,29,17,5,7,21,37,2,7,1,35,18,17,11,21,40,24,10
