500,20
15,39,38,12,38,13,29,19,34,9,5,6,20,32,4,39,2,1,35,10
23,9,23,40,6,35,21,29,37,19,3,29,39,36,21,13,19,17,4,27
1,33,24,37,40,10,24,17,32,29,7,40,24,30,30,20,19,6,5,13
32,22,40,8,8,31,16,26,17,26,35,16,3,26,40,18,39,11,2,33
29,6,34,17,11,15,35,15,4,21,10,20,6,33,39,13,9,19,38,5
13,20,12,12,40,39,5,30,24,10,5,37,35,14,37,2,30,5,20,13
36,20,14,9,29,18,29,13,17,34,11,12,36,17,31,2,16,7,19,36
38,20,37,39,32,40,5,29,30,16,30,10,5,17,16,26,32,30,28,37
27,37,13,30,22,15,19,7,16,14,23,3,9,13,4,4,4,36,28,36
7,39,20,8,9,20,32,40,37,32,17,14,2,34,11,26,40,30,35,5
15,33,21,15,16,5,32,35,34,15,27,15,26,16,6,5,1,4,18,12
40,35,7,19,30,11,4,33,18,27,9,14,5,17,39,25,13,13,30,27
8,18,6,33,13,24,6,1,34,34,40,12,7,14,19,8,27,23,4,39
4,12,40,40,18,37,20,27,8,18,7,32,34,4,4,34,7,34,23,14
33,27,38,10,12,6,7,10,23,27,5,35,12,21,28,26,30,18,7,36
18,34,34,30,3,12,30,25,29,26,24,4,38,8,30,17,11,29,10,29
36,16,19,18,24,13,17,39,38,10,36,8,11,37,33,28,1,16,12,28
18,16,5,21,40,6,1,11,24,32,34,11,19,32,10,7,32,22,18,3
12,12,34,27,1,36,40,14,30,10,23,10,38,3,2,23,24,18,31,23
8,15,26,4,29,37,34,7,19,39,20,11,6,24,30,28,8,13,12,21
9,19,16,14,35,17,7,26,7,4,16,6,40,21,33,9,28,34,39,34
23,40,20,9,16,23,28,6,12,3,7,9,19,31,18,5,11,36,8,27
29,20,14,23,23,8,2,37,33,24,8,26,38,38,18,13,31,28,34,28
24,11,1,14,40,14,26,4,17,29,13,12,31,19,16,25,16,27,3,7
3,24,7,9,11,14,2,8,40,24,23,40,20,34,7,8,15,29,39,20
18,10,11,28,39,38,2,2,11,13,21,1,21,28,28,38,9,15,24,32
32,28,24,16,38,21,29,18,38,12,37,29,24,21,10,16,34,17,27,8
18,7,17,33,12,18,24,3,16,14,2,7,37,24,16,13,1,30,21,35
