200,40
28,6,9,17,15,1,28,14,9,8,21,13,39,25,5,32,15,32,3,15,14,15,3,9,28,5,39,24,15,25,19,7,20,2,6,38,19,6,16,7
13,22,38,35,4,5,12,5,2,23,16,10,21,39,34,21,18,26,3,13,13,14,26,22,31,9,37,1,9,19,1,12,37,22,10,29,26,34,3,22
17,17,27,12,28,22,24,15,32,22,11,24,38,33,1,9,22,2,29,10,13,18,25,40,14,30,16,2,26,8,36,14,29,21,13,7,3,29,23,29
34,20,8,8,20,37,11,1,11,22,4,12,40,23,23,20,28,18,8,12,19,25,4,23,15,18,23,26,21,25,40,10,32,4,22,31,26,36,21,8
30,34,10,16,16,15,10,27,25,33,33,18,9,17,8,27,18,39,7,10,1,34,9,10,2,35,29,16,25,8,11,38,10,34,15,30,22,24,15,12
30,37,5,16,33,24,1,26,31,22,39,24,39,17,27,39,13,37,32,26,22,18,39,34,31,23,24,34,22,21,25,19,40,15,28,18,35,6,26,9
20,12,11,37,27,2,31,35,31,3,14,8,27,7,8,9,25,15,22,5,9,12,11,22,2,25,14,34,7,21,1,7,15,11,16,36,14,30,37,22
31,23,16,18,10,33,24,39,28,19,27,1,20,21,32,22,40,32,9,39,11,16,2,23,22,30,9,27,25,12,7,1,38,29,12,40,5,26,20,21
18,11,16,36,15,35,40,29,31,36,11,26,36,24,33,9,4,31,5,11,6,28,35,4,4,23,7,17,32,18,18,39,14,39,32,28,30,35,4,16
27,16,29,14,37,7,28,1,36,12,35,25,15,32,16,40,31,31,26,35,16,36,4,23,17,8,6,28,13,27,22,32,3,21,20,8,28,17,2,2
34,15,6,21,40,2,7,19,40,35,33,26,35,35,24,34,35,17,25,23,20,6,26,40,23,13,36,30,18,1,39,15,38,39,33,39,31,13,37,28
25,30,38,21,4,40,35,8,11,11,4,3,36,37,9,15,3,29,1,39,19,36,17,24,29,2,21,20,16,32,23,21,26,27,6,16,9,12,24,28
3,37,30,27,10,10,30,31,38,14,9,37,32,33,33,7,27,25,14,22,30,22,18,17,26,15,9,32,12,12,17,26,14,21,26,21,20,35,28,6
1,37,34,35,34,19,23,5,6,6,23,39,40,17,36,1,5,21,21,23,30,25,27,22,31,23,9,19,27,17,24,11,11,3,14,8,32,5,36,3
25,4,13,20,39,21,12,36,33,8,27,22,38,39,8,13,31,21,7,26,23,9,40,37,40,21,38,38,17,5,32,10,26,18,29,30,17,20,33,29
9,11,30,7,1,37,8,33,1,39,33,34,6,1,31,7,33,21,39,12,8,11,27,26,7,33,27,39,4,6,40,33,15,32,37,9,30,25,16,36
2,20,8,26,12,32,5,33,17,19,16,9,6,37,9,11,17,12,30,22,32,8,28,8,19,6,6,13,7,18,2,27,9,2,15,14,30,10,21,33
21,36,10,25,7,18,20,31,38,17,20,23,12,21,16,13,27,17,35,18,13,37,17,13,7,3,36,39,12,3,33,39,13,21,3,10,23,4,32,22
37,12,36,11,26,6,35,12,30,4,13,31,28,32,37,6,5,32,4,18,21,31,2,18,40,34,12,34,32,12,27,14,39,15,7,24,22,38,7,37
20,10,23,40,15,26,16,25,28,29,22,29,32,40,40,6,11,14,31,1,36,33,13,23,17,23,38,33,23,10,26,27,6,2,9,18,20,35,35,31
15,29,36,21,12,8,28,25,31,12,9,11,36,7,29,18,3,8,3,29,32,27,36,5,34,1,8,37,24,30,5,8,26,5,36,33,32,7,36,10
38,28,34,2,16,32,27,31,17,30,10,15,22,12,4,11,21,8,24,13,33,27,13,17,23,20,4,24,6,11,19,17,30,11,36,36,14,33,7,12
40,11,6,11,33,30,1,25,15,36,6,14,38,16,11,10,7,33,18,25,23,8,23,7,11,25,10,9,7,27,2,25,2,7,38,36,23,36,23,22
23,14,36,9,3,22,39,2,27,11,22,20,29,22,16,38,36,3,16,8,4,4,31,21,13,32,32,11,26,34,38,16,22,40,14,15,28,7,27,22
7,38,7,8,29,34,5,18,16,10,20,2,14,34,16,5,24,28,30,14,7,23,30,4,3,38,4,20,27,8,29,20,30,10,19,36,36,34,32,16
31,6,38,22,35,3,38,2,8,7,13,28,5,1,34,9,38,2,21,40,7,27,36,25,28,32,2,26,31,24,23,3,8,2,33,8,18,25,27,35
36,40,20,1,38,28,18,21,38,14,13,8,32,15,10,30,13,19,2,34,7,16,14,21,17,12,40,35,4,18,40,10,12,6,20,18,32,29,35,21
28,37,1,18,32,39,24,4,33,32,3,35,22,29,27,18,26,8,22,22,14,3,17,17,24,38,5,2,19,24,19,9,13,28,14,37,31,26,21,37
28,11,18,17,14,28,4,31,16,2,10,35,23,34,37,22,34,7,21,3,18,30,37,18,32,27,6,38,26,34,21,23,21,18,25,39,8,25,38,9
23,9,17,21,6,24,18,14,1,7,28,18,30,24,3,22,28,36,34,4,27,26,39,29,13,17,20,18,4,35,25,2,2,19,13,22,31,32,33,24
10,8,31,14,34,35,39,1,37,40,25,24,12,37,33,13,19,32,8,32,3,4,18,11,23,34,38,9,14,28,12,25,2,9,31,14,30,14,7,10
16,24,6,33,31,22,33,36,28,7,20,33,39,36,35,2,11,39,36,10,10,24,3,37,13,25,25,25,20,37,40,23,21,4,8,11,36,9,35,38
23,1,20,13,9,40,13,25,13,5,16,33,20,4,15,22,13,14,4,8,15,21,10,3,24,40,16,39,8,17,6,11,28,10,6,21,14,36,19,8
22,38,23,17,11,25,17,38,11,2,10,27,3,1,20,21,7,18,3,38,36,30,10,36,24,21,3,17,2,13,17,5,16,10,32,11,32,19,7,22
15,40,25,18,12,8,10,21,36,1,20,37,27,17,39,3,1,39,10,37,35,21,17,39,34,23,37,13,6,9,11,37,23,37,14,15,11,32,10,33
16,13,11,12,7,13,19,26,17,33,6,8,36,24,1,6,29,26,16,16,8,39,7,33,3,26,35,26,39,16,27,35,5,32,28,31,7,10,31,17
3,10,26,11,40,24,27,6,5,8,4,29,19,29,7,4,40,15,37,1,2,25,4,5,38,21,15,1,37,13,26,29,16,38,24,14,31,30,18,40
19,32,21,26,36,27,18,29,34,29,15,38,11,6,37,4,23,31,9,20,4,17,11,40,32,23,38,24,8,29,17,18,17,24,8,33,26,30,8,36
3,3,12,17,30,2,10,12,25,35,8,13,36,3,11,7,28,31,8,40,30,2,38,4,26,14,22,17,7,40,13,9,6,30,40,33,14,32,4,21
20,39,20,16,15,21,33,17,26,20,33,2,25,2,31,33,31,37,27,37,31,9,8,16,20,22,26,28,36,5,39,35,3,6,29,24,26,21,14,4
15,4,28,14,1,37,33,10,28,27,16,13,15,5,40,18,31,35,4,26,27,37,2,40,31,25,29,15,40,17,11,37,15,10,1,3,26,36,6,10
2,21,32,17,31,40,22,31,16,11,27,22,4,26,6,2,13,11,21,26,8,13,14,37,27,9,14,5,38,10,21,26,6,22,8,35,32,13,7,29
10,9,30,2,5,16,29,20,40,27,11,6,31,36,25,32,26,31,9,35,6,12,23,8,33,36,17,18,19,18,8,2,9,13,11,26,8,25,31,33
40,40,40,4,15,39,32,18,2,5,7,23,32,5,4,32,13,13,22,21,20,5,25,38,27,28,9,33,7,11,13,28,38,3,32,28,13,19,21,7
37,25,27,3,37,40,38,12,32,24,34,1,32,19,39,21,37,10,21,36,14,13,12,6,5,14,34,34,26,31,17,5,36,13,27,38,9,32,16,12
27,28,31,11,5,2,21,13,16,38,15,25,34,8,33,6,1,21,13,13,4,28,16,14,39,23,36,28,20,37,5,15,28,3,26,6,7,22,17,26
39,8,38,4,38,38,11,26,12,14,24,5,25,23,8,38,9,35,11,5,21,37,35,40,39,20,32,24,29,39,27,15,10,3,31,40,11,25,10,12
15,30,2,17,35,13,5,19,40,29,39,21,7,20,17,24,29,28,2,37,14,4,22,31,16,19,20,22,25,33,37,24,2,24,36,12,6,10,14,13
34,15,35,24,35,25,26,2,33,9,7,12,9,19,1,36,35,13,21,3,27,40,39,33,11,16,33,21,13,12,4,17,10,36,6,17,11,17,28,1
28,7,17,28,34,16,29,38,9,29,14,28,13,3,15,33,8,7,8,35,35,8,27,36,37,13,36,6,19,23,6,14,29,23,27,18,17,10,29,13
39,40,25,21,36,7,4,1,34,9,19,19,23,12,29,3,21,13,25,7,12,37,32,23,25,15,24,29,32,5,40,4,19,32,12,38,28,38,10,36
5,9,17,14,17,31,35,2,7,3,22,1,6,25,11,14,2,9,17,24,20,34,15,8,8,2,25,21,19,1,17,28,9,29,32,14,26,39,7,22
25,6,18,1,35,32,30,12,11,1,29,25,29,35,34,24,10,15,24,11,2,28,38,10,36,1,26,25,10,5,8,22,21,9,36,26,8,17,33,7
15,20,26,7,21,9,4,19,24,3,11,17,29,12,7,25,25,20,4,10,18,14,17,34,9,2,12,31,26,36,13,38,30,13,37,16,26,39,16,25
14,28,9,25,18,14,10,20,22,13,39,37,15,19,11,27,18,26,38,27,2,23,31,33,23,7,1,22,19,35,21,19,2,37,20,21,17,37,4,19
31,26,6,21,34,8,11,1,19,40,38,25,27,22,26,5,5,12,30,8,12,3,34,14,40,15,32,2,14,23,24,27,5,3,18,11,19,36,1,37
20,20,12,25,5,15,18,16,8,12,34,14,29,9,27,5,6,31,1,5,4,24,36,14,5,16,12,34,34,38,26,34,39,37,20,23,35,7,8,30
32,40,14,18,30,9,34,32,13,13,21,4,36,18,27,2,16,13,2,19,31,26,30,22,18,33,9,26,21,37,29,13,31,24,15,21,27,38,32,33
38,21,14,8,3,4,8,32,8,26,9,38,35,10,26,35,29,25,33,12,38,25,22,23,7,21,16,24,28,19,12,25,21,27,25,32,30,17,24,5
14,28,10,5,36,17,36,20,40,21,20,11,22,28,17,17,14,32,37,8,38,35,2,2,13,26,20,29,22,31,6,15,30,35,9,11,27,17,1,24
17,10,21,11,36,28,22,4,35,11,6,26,17,23,39,22,35,36,8,13,19,17,19,14,30,12,24,1,7,37,31,27,11,36,4,31,20,36,39,35
