500,30
38,17,34,6,37,40,27,37,23,11,13,9,40,36,11,27,9,6,2,37,16,38,18,1,10,15,23,32,32,23
31,33,35,14,28,40,21,20,18,33,3,26,1,16,35,10,19,2,9,38,19,14,31,32,8,30,28,13,8,40
14,17,14,31,6,31,3,24,22,1,31,6,14,20,23,8,37,21,11,12,30,24,9,30,9,19,26,10,9,28
13,7,8,28,37,2,35,37,26,15,38,36,29,21,33,13,26,33,38,20,23,37,25,35,4,33,1,7,3,13
38,37,20,5,6,4,9,40,20,5,2,24,4,24,10,10,1,27,36,21,28,25,22,29,26,7,19,2,21,1
24,23,30,24,4,17,6,4,19,32,39,12,10,37,34,14,31,33,37,21,2,18,8,29,33,27,20,4,34,21
33,37,34,13,7,6,25,1,19,36,16,12,28,3,9,36,30,30,25,39,29,27,27,15,1,16,15,27,39,5
31,8,40,29,11,32,31,5,13,23,9,20,21,40,32,37,4,11,28,17,31,6,8,28,35,18,12,15,15,15
33,24,1,20,2,21,7,31,4,29,36,26,8,24,2,29,25,18,28,20,29,40,29,1,28,39,21,18,14,38
24,30,1,29,1,8,20,33,10,30,19,29,34,23,24,24,4,23,21,31,32,18,20,1,2,5,9,7,6,37
21,21,32,10,15,26,7,14,31,23,13,20,37,16,15,33,38,29,18,25,34,38,7,7,22,20,3,3,35,37
39,30,39,32,37,17,28,29,24,25,40,22,30,5,17,39,3,39,3,8,36,18,38,37,30,17,5,40,35,11
27,12,3,36,17,37,34,19,29,22,27,30,33,2,14,19,39,30,28,13,20,14,22,15,31,9,38,15,21,35
33,37,38,34,20,19,34,4,8,23,25,32,25,37,39,14,31,29,35,1,36,15,37,36,30,32,24,24,11,37
40,30,4,39,28,20,1,21,15,32,15,18,3,23,30,26,28,13,17,23,8,32,25,12,13,27,27,9,19,28
32,31,15,4,12,10,10,5,2,40,24,1,21,27,35,14,4,3,4,35,12,32,30,7,8,35,32,14,25,36
10,30,11,28,16,5,21,24,27,36,5,39,30,18,10,1,25,11,22,34,31,2,39,31,19,34,2,24,40,6
38,21,33,16,15,26,25,33,29,1,40,21,35,35,33,16,2,2,35,32,39,3,33,16,35,2,32,9,5,34
8,32,28,10,18,28,23,21,21,28,19,39,14,26,9,8,16,4,18,39,12,18,1,36,9,9,25,1,13,34
39,33,26,40,21,14,29,38,37,2,22,6,33,28,35,25,6,38,8,14,22,31,22,10,38,26,2,11,6,30
23,34,28,6,32,36,13,7,5,28,17,36,11,20,37,26,5,13,6,39,21,37,27,10,40,15,18,29,38,14
13,40,16,12,11,19,6,35,38,20,17,3,35,7,34,32,12,3,16,4,19,31,38,18,23,40,2,23,7,20
28,1,11,31,21,17,36,8,28,5,3,32,6,35,3,8,25,2,9,11,26,32,40,29,40,21,15,10,17,5
22,28,39,14,3,20,27,31,26,5,8,17,11,36,28,32,25,35,40,24,24,17,14,18,7,25,40,22,12,18
40,7,6,20,26,38,2,25,9,15,24,35,33,18,26,16,26,11,11,26,31,39,14,10,3,14,5,21,24,31
13,26,22,8,30,33,32,29,2,23,38,21,3,33,22,8,39,24,12,32,27,28,29,11,19,34,10,5,25,29
10,26,40,17,39,14,1,24,36,36,22,22,3,27,1,8,17,38,37,27,32,22,4,23,7,21,30,11,29,11
27,2,28,1,3,22,21,8,16,22,28,6,26,11,19,28,7,31,9,6,27,36,36,3,13,26,4,3,22,4
16,27,32,13,32,29,8,9,9,33,16,20,5,7,2,16,24,35,28,37,7,1,38,2,34,27,15,8,5,1
25,36,23,18,22,13,8,21,22,35,24,21,23,23,24,16,8,2,30,39,40,2,21,33,23,30,14,1,37,27
22,38,38,26,14,29,29,9,17,19,12,37,7,34,15,3,21,1,28,25,22,12,30,13,13,29,35,35,8,24
1,18,1,40,14,32,11,5,14,39,29,29,7,2,31,7,13,2,22,10,39,2,40,36,24,22,21,21,9,33
