200,5
32,38,18,33,21
26,6,34,2,34
17,14,27,37,8
39,6,6,1,5
19,13,22,20,1
27,12,38,25,20
30,34,21,7,34
5,5,11,32,32
21,7,40,4,7
7,5,2,3,39
9,4,28,33,2
24,33,3,27,26
21,4,19,23,29
21,17,4,20,29
9,33,36,20,30
38,2,9,4,26
9,6,15,20,30
29,27,5,29,34
17,38,9,26,28
23,26,33,7,23
38,28,23,10,39
9,17,13,29,18
27,34,20,38,32
40,18,18,11,34
28,27,22,8,14
23,3,21,34,9
8,16,31,26,34
11,39,15,36,22
5,12,3,9,15
12,26,13,32,4
28,34,10,15,7
27,12,4,6,4
24,21,22,35,30
30,27,34,35,11
7,12,30,2,28
28,6,33,13,7
34,36,27,12,38
3,19,13,8,10
28,10,34,22,20
29,10,16,22,35
12,24,12,22,2
35,4,7,27,11
29,13,30,7,31
21,36,29,5,38
34,9,27,31,34
23,27,20,38,33
18,31,40,17,27
37,29,33,32,35
28,36,11,23,26
35,13,28,34,24
9,3,25,33,34
2,38,40,33,40
27,36,13,19,34
5,2,30,8,11
39,22,21,12,9
26,13,24,38,13
31,38,34,18,14
38,30,22,11,6
7,6,34,35,2
23,35,19,37,11
2,9,32,26,21
35,31,40,6,21
35,24,38,16,32
16,24,26,27,26
9,37,34,21,18
16,21,30,22,14
36,20,1,37,33
9,14,20,35,15
5,15,17,18,28
19,19,10,29,31
27,17,9,3,36
29,4,33,28,18
21,14,29,17,33
33,25,35,34,21
30,25,40,16,5
19,27,12,4,32
20,14,27,15,38
10,11,8,24,4
8,35,29,30,36
29,2,36,31,8
16,10,16,13,4
11,14,26,24,15
17,36,38,3,27
35,7,33,19,40
11,40,26,19,30
10,10,10,27,40
8,39,33,7,34
2,23,12,32,4
17,26,15,13,29
23,22,8,38,3
4,3,26,30,18
36,2,36,3,32
13,23,15,8,20
4,32,21,10,39
33,31,19,5,18
14,14,36,38,4
24,3,11,37,25
11,25,21,38,32
20,8,21,22,34
16,4,32,16,24
6,28,23,20,10
26,2,1,27,25
37,20,34,35,32
34,4,15,3,40
16,5,15,17,5
17,5,14,5,25
36,4,34,32,35
27,19,9,15,30
24,15,3,30,26
19,21,37,27,5
21,15,32,40,29
26,7,31,19,33
6,34,24,32,23
18,36,1,30,29
33,14,18,24,38
29,28,36,16,16
31,21,38,29,29
20,9,16,40,7
35,9,14,5,2
24,5,26,33,18
4,10,27,10,22
35,40,20,40,27
33,13,1,15,17
2,13,8,2,14
34,26,17,6,21
39,31,24,39,40
11,23,29,17,35
24,23,29,20,6
33,33,16,9,5
12,3,5,6,39
30,36,36,1,16
23,22,3,14,26
29,2,15,14,26
14,1,12,19,38
40,23,3,32,23
36,31,17,4,23
31,6,26,24,15
8,37,9,12,6
22,2,30,25,5
13,7,34,16,32
13,30,16,23,4
5,32,3,15,3
24,32,20,5,2
16,30,18,28,2
2,38,38,27,4
8,24,2,22,19
7,17,17,21,3
33,27,40,9,15
34,20,28,31,30
22,10,20,34,14
28,22,12,31,24
21,10,24,19,5
25,19,27,39,26
38,7,34,26,19
23,8,31,1,17
28,23,15,37,17
28,23,21,18,13
27,17,14,14,33
21,28,35,19,18
8,35,40,16,32
11,5,22,15,17
9,30,18,11,30
8,23,6,11,38
11,9,29,33,19
40,33,32,15,36
33,14,2,13,11
15,9,8,31,16
35,20,1,9,1
24,28,12,8,18
31,18,40,18,35
6,10,6,33,5
31,28,37,34,9
19,14,12,22,5
33,7,31,4,24
39,16,32,3,19
28,26,32,39,8
20,15,7,27,28
9,26,22,17,9
38,21,34,24,15
28,16,5,15,26
21,17,32,28,29
36,7,35,1,39
18,17,8,30,27
15,2,17,14,27
11,39,39,4,1
14,18,25,14,25
5,40,12,8,40
34,25,37,37,15
35,3,11,31,13
10,26,10,15,16
14,7,29,14,1
36,10,36,18,4
29,29,17,12,28
18,28,25,17,29
13,28,24,20,40
16,10,7,34,23
15,33,22,4,40
16,9,2,32,33
35,6,24,26,34
38,18,12,28,40
