20,13
2,56,63,73,96,99,103,120,183,
30,37,40,71,79,101,115,125,149,162,186,
16,62,72,75,109,184,189,
3,15,21,33,39,61,85,104,105,136,152,180,
5,31,47,50,51,54,118,119,138,170,174,192,193,
46,49,57,65,81,87,88,145,158,194,
6,43,53,55,77,90,124,140,146,171,173,175,179,
0,80,117,132,142,150,156,166,199,
14,18,27,29,52,86,106,108,154,187,
58,70,82,111,141,182,196,
4,9,10,23,25,66,114,123,148,190,
36,110,127,134,147,176,188,
11,12,64,78,93,95,113,126,165,178,
35,59,68,76,122,137,143,155,168,185,
32,94,97,128,135,144,153,163,169,181,
19,26,28,45,83,116,151,159,164,
20,34,42,84,100,112,121,133,139,195,
1,7,17,38,41,48,69,89,98,157,160,177,191,
8,22,60,67,91,92,161,167,197,198,
13,24,44,74,102,107,129,130,131,172,
